index,mean,std,5%,50%,95%,pid
n_samples,500.0,0.0,500.0,500.0,500.0,clyhfukqqcr9yw7ibctjvyzr
exploration_constant,3.0,0.0,3.0,3.0,3.0,clyhfukqqcr9yw7ibctjvyzr
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,clyhfukqqcr9yw7ibctjvyzr
temp,1.3852106826007367,1.9868342951271474,-2.8571926832199095,1.6668129563331604,4.277363157272337,m6lu5vu8wo4m2sq4y5tnzns9
lapse,0.48231585427373647,0.7423246901165078,-0.8959419339895248,0.5971742570400238,1.7028588235378266,m6lu5vu8wo4m2sq4y5tnzns9
aligned_weight,0.7321714528240263,0.6126256915718702,-0.18266467452049248,0.69486403465271,1.750895464420318,m6lu5vu8wo4m2sq4y5tnzns9
orthogonal_weight,0.5361952849626541,0.45537135619316027,-0.24800160825252532,0.5873066782951355,1.067507892847061,m6lu5vu8wo4m2sq4y5tnzns9
horizon,1.3705388561487197,1.5389733487080848,-1.337559700012207,1.4023218154907227,3.944698560237884,m6lu5vu8wo4m2sq4y5tnzns9
n_samples,500.0,0.0,500.0,500.0,500.0,m6lu5vu8wo4m2sq4y5tnzns9
exploration_constant,3.0,0.0,3.0,3.0,3.0,m6lu5vu8wo4m2sq4y5tnzns9
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,m6lu5vu8wo4m2sq4y5tnzns9
temp,1.3158222036063671,1.9344954569668316,-2.518565189838409,1.5674698948860168,4.023589038848875,49bm9zi2zl35byj0fxz53gom
lapse,0.49722881834208965,0.7226191761655405,-0.8435179710388183,0.6136058568954468,1.6729267001152035,49bm9zi2zl35byj0fxz53gom
aligned_weight,0.6693440796621144,0.6107715195105186,-0.3730364739894867,0.6773799359798431,1.69685446023941,49bm9zi2zl35byj0fxz53gom
orthogonal_weight,0.5269035086631775,0.4333199493219986,-0.2963442862033844,0.5967854857444763,1.014508044719696,49bm9zi2zl35byj0fxz53gom
horizon,1.473575423836708,1.4301403066188314,-0.8867671012878418,1.4156244397163391,3.9616837978363013,49bm9zi2zl35byj0fxz53gom
n_samples,500.0,0.0,500.0,500.0,500.0,49bm9zi2zl35byj0fxz53gom
exploration_constant,3.0,0.0,3.0,3.0,3.0,49bm9zi2zl35byj0fxz53gom
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,49bm9zi2zl35byj0fxz53gom
temp,1.3639569613039493,2.1415206054646996,-2.777210068702698,1.5679675936698914,4.304704976081845,jhu8n67inu9elmmunk6ovmb7
lapse,0.5092171186357737,0.718675685613024,-0.8930049210786819,0.6192414462566376,1.7036634802818298,jhu8n67inu9elmmunk6ovmb7
aligned_weight,0.693739317048341,0.5531344003026856,-0.19810799956321712,0.6827648878097534,1.654382199048996,jhu8n67inu9elmmunk6ovmb7
orthogonal_weight,0.5186804683506488,0.47392059833468175,-0.4121721804141998,0.5937308371067047,1.043626356124878,jhu8n67inu9elmmunk6ovmb7
horizon,1.3877349040508271,1.5249243226688969,-1.158454942703247,1.4047445058822632,3.9180120944976795,jhu8n67inu9elmmunk6ovmb7
n_samples,500.0,0.0,500.0,500.0,500.0,jhu8n67inu9elmmunk6ovmb7
